[2025-10-26 23:39:10,539] INFO django.utils.autoreload — Watching for file changes with StatReloader
[2025-10-27 00:30:31,669] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:33,944] INFO django.server — "GET /admin/auth/user/1/change/ HTTP/1.1" 200 34665
[2025-10-27 00:30:34,007] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:30:35,967] INFO django.server — "GET /admin/auth/user/1/delete/ HTTP/1.1" 200 16937
[2025-10-27 00:30:42,105] INFO django.server — "GET /admin/auth/user/1/change/ HTTP/1.1" 200 34665
[2025-10-27 00:30:48,803] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22735
[2025-10-27 00:30:48,849] INFO django.server — "GET /static/css/admin_custom.css HTTP/1.1" 304 0
[2025-10-27 00:30:48,861] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:31:02,767] INFO django.server — "GET /admin/auth/user/3/change/ HTTP/1.1" 200 34494
[2025-10-27 00:31:02,830] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:31:09,253] INFO django.server — "GET /admin/auth/user/3/password/ HTTP/1.1" 200 14643
[2025-10-27 00:31:09,311] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:31:34,009] INFO django.server — "POST /admin/auth/user/3/password/ HTTP/1.1" 302 0
[2025-10-27 00:31:34,064] INFO django.server — "GET /admin/auth/user/3/change/ HTTP/1.1" 200 34999
[2025-10-27 00:31:34,162] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:31:44,067] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-27 00:31:44,074] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-27 00:32:08,871] INFO django.server — "POST /admin/login/ HTTP/1.1" 302 0
[2025-10-27 00:32:08,890] INFO django.server — "GET /admin/ HTTP/1.1" 200 18338
[2025-10-27 00:32:17,253] INFO django.server — "GET /admin/lab/exame/ HTTP/1.1" 200 19078
[2025-10-27 00:32:17,310] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:32:20,728] INFO django.server — "GET /admin/lab/exame/add/ HTTP/1.1" 200 18904
[2025-10-27 00:32:20,795] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:32:23,754] INFO django.server — "GET /admin/lab/exame/ HTTP/1.1" 200 19078
[2025-10-27 00:33:10,177] INFO django.server — "POST /admin/logout/ HTTP/1.1" 302 0
[2025-10-27 00:33:10,183] INFO django.server — "GET /admin/login/ HTTP/1.1" 200 3082
[2025-10-27 00:33:13,069] INFO django.server — "POST /admin/login/ HTTP/1.1" 302 0
[2025-10-27 00:33:13,092] INFO django.server — "GET /admin/ HTTP/1.1" 200 26807
[2025-10-27 00:33:21,995] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22743
[2025-10-27 00:33:22,043] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:33:25,212] INFO django.server — "GET /admin/auth/user/3/change/ HTTP/1.1" 200 34538
[2025-10-27 00:33:25,292] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:34:22,243] INFO django.server — "GET /admin/auth/user/ HTTP/1.1" 200 22743
[2025-10-27 00:34:22,293] INFO django.server — "GET /admin/jsi18n/ HTTP/1.1" 200 7210
[2025-10-27 00:34:27,452] INFO django.server — "GET /admin/auth/user/4/change/ HTTP/1.1" 200 34311
